layer_idx,final_loss,val_R2,val_spearman_rho,val_spearman_p,val_RMSE,val_NLL,test_R2,test_spearman_rho,test_spearman_p,test_RMSE,test_NLL
0,1.9618080211745499,0.11390161514282227,0.35579132236053396,1.0164447340082252e-71,1.670312762260437,1.9322365522384644,0.1290234923362732,0.4341012566236396,1.5860368650162802e-14,2.0255656242370605,2.157546281814575
1,1.8661418517943733,0.2131747007369995,0.45789800287856397,2.8557461812752996e-123,1.5739684104919434,1.8715780973434448,0.3091484308242798,0.5771557547545094,1.035510766890961e-26,1.8039956092834473,2.032640218734741
2,1.8622578820017097,0.21562081575393677,0.4739287990192041,4.174460512318595e-133,1.5715198516845703,1.8695725202560425,0.34759068489074707,0.6174069981183324,2.442721743661124e-31,1.7530858516693115,1.995686411857605
3,1.850674786341525,0.20539230108261108,0.4615772542693852,1.7564401466757026e-125,1.581733226776123,1.8762295246124268,0.3590814471244812,0.6398740621506853,3.172348399010638e-34,1.7375787496566772,1.986549973487854
4,1.8498429974995745,0.21853435039520264,0.4651067928448678,1.2528486920564743e-127,1.5685985088348389,1.8675472736358643,0.3804659843444824,0.6589619947364556,7.133267408140979e-37,1.7083452939987183,1.9664186239242554
5,1.8404629982402907,0.2234659194946289,0.47867064666998077,4.068845588035523e-136,1.5636411905288696,1.8650684356689453,0.4270439147949219,0.6828152361851101,1.817527683510746e-40,1.6428720951080322,1.9234062433242798
6,1.8310596074068075,0.23259085416793823,0.4953093553711163,4.574075974730536e-147,1.5544270277023315,1.8591606616973877,0.42943692207336426,0.681377478868688,3.0604431491145617e-40,1.6394376754760742,1.9226601123809814
7,1.8301255342709921,0.22144490480422974,0.4874472677706381,8.118249768297186e-142,1.5656745433807373,1.8672698736190796,0.41781115531921387,0.6736480105194864,4.791760286663359e-39,1.6560560464859009,1.9358294010162354
8,1.8224547684029844,0.250136137008667,0.5117035436138934,1.8322232695833674e-158,1.5365548133850098,1.8474522829055786,0.431995153427124,0.6856534266691233,6.440292719897479e-41,1.6357581615447998,1.9210200309753418
9,1.8220993269753865,0.23225665092468262,0.4977971692127738,9.343840693892149e-149,1.5547653436660767,1.8598723411560059,0.4485170245170593,0.6967044850687933,1.0100187183496685e-42,1.6117925643920898,1.9034440517425537
